Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1252195407
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      11000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	1
	AncTag	5	Sheep Goat Cow Buffalo Pronghorn 
Restrictions:
    qDG                          None
    qGD                          qDG
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 1.00 
Node reconstruction / fossilisation:
	MRCA RecNode AncTag
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	RecNode P(D)	RecNode P(G)	
1076000	-8.459431	351	2.250903	2.250903	0.037161	0.962839	0.986830	0.013170	
1077000	-8.021462	136	3.093181	3.093181	0.078801	0.921199	0.990022	0.009978	
1078000	-8.652563	317	2.307399	2.307399	0.062115	0.937885	0.978967	0.021033	
1079000	-9.425096	239	1.355098	1.355098	0.024954	0.975046	0.997978	0.002022	
1080000	-9.423224	343	1.768584	1.768584	0.094581	0.905419	0.989497	0.010503	
1081000	-8.765425	32	1.965334	1.965334	0.041675	0.958325	0.996534	0.003466	
1082000	-9.616882	431	0.931356	0.931356	0.005886	0.994114	0.998015	0.001985	
1083000	-9.812471	432	1.613923	1.613923	0.030549	0.969451	0.995148	0.004852	
1084000	-8.255154	282	3.151686	3.151686	0.101245	0.898755	0.978828	0.021172	
1085000	-7.466273	241	3.163745	3.163745	0.073118	0.926882	0.994321	0.005679	
1086000	-7.951768	415	2.784966	2.784966	0.072863	0.927137	0.957724	0.042276	
1087000	-8.774026	38	2.478076	2.478076	0.077963	0.922037	0.997714	0.002286	
1088000	-10.080194	205	0.917135	0.917135	0.008022	0.991978	0.815282	0.184718	
1089000	-9.001846	469	1.640519	1.640519	0.015013	0.984987	0.988455	0.011545	
1090000	-8.753101	284	1.900265	1.900265	0.036872	0.963128	0.987735	0.012265	
1091000	-8.073343	159	2.492726	2.492726	0.057509	0.942491	0.953384	0.046616	
1092000	-7.395199	96	5.239998	5.239998	0.153192	0.846808	0.984820	0.015180	
1093000	-8.506335	366	3.496362	3.496362	0.120932	0.879068	0.742418	0.257582	
1094000	-7.826011	21	2.380086	2.380086	0.066666	0.933334	0.984172	0.015828	
1095000	-9.653033	443	1.152206	1.152206	0.030712	0.969288	0.984281	0.015719	
1096000	-7.909361	471	3.183095	3.183095	0.051627	0.948373	0.979688	0.020312	
1097000	-9.168225	156	1.200816	1.200816	0.012262	0.987738	0.999113	0.000887	
1098000	-9.654023	118	0.955956	0.955956	0.013414	0.986586	0.992135	0.007865	
1099000	-8.229236	244	3.214818	3.214818	0.073421	0.926579	0.872686	0.127314	
1100000	-8.161181	404	3.179737	3.179737	0.119373	0.880627	0.945953	0.054047	
1101000	-8.257059	492	3.127188	3.127188	0.126761	0.873239	0.766939	0.233061	
1102000	-9.106086	431	1.176767	1.176767	0.009359	0.990641	0.997447	0.002553	
1103000	-8.581046	391	1.914728	1.914728	0.065096	0.934904	0.997373	0.002627	
1104000	-8.428027	73	2.008643	2.008643	0.041023	0.958977	0.986006	0.013994	
1105000	-9.149271	197	1.370719	1.370719	0.021590	0.978410	0.991911	0.008089	
1106000	-7.908713	12	1.728697	1.728697	0.030785	0.969215	0.894320	0.105680	
1107000	-8.384442	123	3.495566	3.495566	0.068200	0.931800	0.992477	0.007523	
1108000	-8.642373	203	1.632041	1.632041	0.025578	0.974422	0.999671	0.000329	
1109000	-7.567391	478	4.966473	4.966473	0.173461	0.826539	0.962015	0.037985	
1110000	-7.420376	207	3.955814	3.955814	0.107096	0.892904	0.880618	0.119382	
1111000	-8.770458	243	1.412717	1.412717	0.037230	0.962770	0.889337	0.110663	
1112000	-7.407511	41	4.158973	4.158973	0.123392	0.876608	0.985776	0.014224	
1113000	-8.610754	484	1.416132	1.416132	0.020031	0.979969	0.993564	0.006436	
1114000	-10.126135	418	1.391442	1.391442	0.013205	0.986795	0.977934	0.022066	
1115000	-7.483998	431	3.464943	3.464943	0.073411	0.926589	0.991255	0.008745	
1116000	-9.196958	123	2.089620	2.089620	0.028123	0.971877	0.995820	0.004180	
1117000	-10.749662	289	0.881632	0.881632	0.009021	0.990979	0.996591	0.003409	
1118000	-8.437029	429	2.501515	2.501515	0.052702	0.947298	0.988411	0.011589	
1119000	-7.637090	322	7.236131	7.236131	0.285558	0.714442	0.781527	0.218473	
1120000	-8.395897	371	5.550750	5.550750	0.213652	0.786348	0.898876	0.101124	
1121000	-8.337598	341	3.209656	3.209656	0.084199	0.915801	0.989617	0.010383	
1122000	-10.296203	273	1.140528	1.140528	0.014679	0.985321	0.601783	0.398217	
1123000	-8.803272	433	2.484673	2.484673	0.095216	0.904784	0.986348	0.013652	
1124000	-8.367668	172	2.522818	2.522818	0.049152	0.950848	0.998701	0.001299	
1125000	-7.714906	65	4.250695	4.250695	0.114698	0.885302	0.988055	0.011945	
1126000	-7.602961	112	3.689460	3.689460	0.096894	0.903106	0.995201	0.004799	
