Options:
Model:                           Independent Contrasts
Tree File Name:                  Rhizobiales.trees
Data File Name:                  LnGenomeSize.txt
Log File Name:                   LnGenomeSize.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1676938870
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      11000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   LnGenomeSize.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Tags:	1
	Tag-Devosia	8	Devosia_enhydra_ATCC_23634 Devosia_sp_Root105 Devosia_sp_Root436 Devosia_psychrophila_CGMCC_1_10210 Devosia_sp_LC5 Devosia_sp_Leaf420 Devosia_sp_Root685 Devosia_sp_S37 
Restrictions:
    Alpha-1                      None
    Sigma-1                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
        AncState-1 - uniform -100.00 100.00 
Node reconstruction / fossilisation:
	MRCA DevosiaAnc Tag-Devosia
Removed taxa:
          Rhizobium_alamii_YR584
Tree Information
     Trees:                      1000
     Taxa:                       160
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1	DevosiaAnc Alpha	
1043000	80.806658	900	15.161775494302	0.213086794919	15.242044	
1044000	81.122785	498	15.416847112242	0.239204328845	15.242537	
1045000	79.562190	890	15.347189983131	0.230184978512	15.240496	
1046000	81.480508	615	15.182001578923	0.207009790608	15.241148	
1047000	79.329570	535	15.196713101081	0.332039803772	15.242565	
1048000	79.686097	362	15.076281837719	0.231953770325	15.242665	
1049000	83.500049	175	15.191483373953	0.253823599751	15.245080	
1050000	82.753400	899	15.122948022211	0.280657621666	15.243584	
1051000	81.885582	242	15.098516364086	0.268489362345	15.241033	
1052000	82.814303	839	15.267199261513	0.237647445596	15.242616	
1053000	82.816057	627	15.224230504751	0.249633077266	15.241918	
1054000	82.404348	887	15.241095882365	0.276273165103	15.242111	
1055000	82.482936	244	15.205815727980	0.257848587043	15.240131	
1056000	82.414171	234	15.284950320693	0.213955991798	15.244359	
1057000	80.673714	328	15.247304839905	0.258819383490	15.242458	
1058000	81.934986	114	15.333452574571	0.264553031739	15.242371	
1059000	82.320017	181	15.265880309205	0.224698023457	15.242439	
1060000	82.389526	814	15.323211561233	0.226826822849	15.244561	
1061000	80.880212	521	15.339258907044	0.269695907623	15.239525	
1062000	80.990625	477	15.124644075033	0.238798527312	15.242075	
1063000	81.736021	667	15.331073937229	0.264811012800	15.244723	
1064000	81.618518	931	15.122787827347	0.231074512124	15.240712	
1065000	80.997827	866	15.249301274695	0.270995673787	15.240996	
1066000	83.685557	523	15.174485367581	0.261886118905	15.243614	
1067000	81.228096	621	15.300270983561	0.215974077794	15.242483	
1068000	82.718488	529	15.261480379903	0.207385217141	15.241917	
1069000	79.912072	272	15.100936259161	0.234554084994	15.238562	
1070000	83.218966	535	15.238298797709	0.234549673479	15.242565	
1071000	80.785224	486	15.308134107593	0.258422741603	15.241778	
1072000	82.029009	171	15.120310637423	0.223063051686	15.240930	
1073000	83.216357	528	15.160168377334	0.210490077815	15.241386	
1074000	81.575998	295	15.326706944093	0.250667149158	15.244596	
1075000	82.413385	79	15.141047264818	0.268341054749	15.240709	
1076000	81.360945	610	15.318132953618	0.212545985659	15.236916	
1077000	80.438374	8	15.299673908089	0.301098043316	15.240568	
1078000	81.413895	953	15.252349513153	0.301854872436	15.242551	
